Card #,Hero,Variation,Treatment,Weapon,Notation,Power,Athlete Inspiration,Play Cost,Play Ability
PL-1,Grilled Bandit,First Edition,Plays,,,0,,5,For the rest of the game  if your opponent would recover Hot Dogs  you recover them instead.
PL-2,The Closer,First Edition,Plays,,,0,,4,If this is used in Battle 7  your Hero gets +40. If it's used in any other Battle  your Hero gets +25.
PL-3,Banked Power,First Edition,Plays,,,0,,2,After paying the Hot Dog cost of this Play  your Hero gets +5 for every Hot Dog you have left.
PL-4,Hero Reset,First Edition,Plays,,,0,,2,Your Hero's Power returns to its starting Power.
PL-5,One And Done,First Edition,Plays,,,0,,1,This must be the only Play you use this Battle. Your Hero gets +20.
PL-6,Too Full To Fight,First Edition,Plays,,,0,,3,If your opponent has 5 or more Hot Dogs  their Hero gets -15 and they lose 2 Hot Dogs.
PL-7,Lineup Pressure,First Edition,Plays,,,0,,2,Your opponent's Hero gets -5 for each Hero you've revealed so far.
PL-8,Sacrifice And Scheme,First Edition,Plays,,,0,,1,Draw 2 Plays and Discard 2 Heroes.
PL-9,Momentum Breaker,First Edition,Plays,,,0,,1,Your opponent's Hero gets -5 and they Discard 1 random Play.
PL-10,Drain And Deny,First Edition,Plays,,,0,,3,Your opponent's Hero gets -10 and they can't Recover Hot Dogs next Battle.
PL-11,Free Booster,First Edition,Plays,,,0,,3,Your Hero gets +20. If you didn't run any Plays last Battle  this Play costs 0. This Play can't be used in Battle 1.
PL-12,Momentum Meal,First Edition,Plays,,,0,,0,If you win this Battle  Recover Hot Dogs equal to the number of Plays you used this Battle which cost 2 or more. (Max 3).
PL-13,Hero Tax,First Edition,Plays,,,0,,4,Your opponent must pay 1 Hot Dog for each Hero in their hand. If they can't  they must Discard a random Hero instead.
PL-14,Sack Streak,First Edition,Plays,,,0,,3,Roll a dice once. If you roll a 4-6  your opponent's Hero gets -15. You may roll again until you roll a 1-3.
PL-15,Running On Fumes,First Edition,Plays,,,0,,0,If you have 1 or 0 Hot Dogs left  your Hero gets +15.
PL-16,Rich Get Richer,First Edition,Plays,,,0,,0,If you have 6 or more Hot Dogs left  Recover 1 Hot Dog and Draw 1 Play.
PL-17,Overcommited,First Edition,Plays,,,0,,2,Next Battle  your opponent's Hero gets -5 for every Play they run.
PL-18,Belly Buster,First Edition,Plays,,,0,,1,If your opponent has an equal or greater number of Hot Dogs than you before paying this Play's Hot Dog cost  their Hero gets -10.
PL-19,Emergency Shutdown,First Edition,Plays,,,0,,0,If you have 2 or fewer Hot Dogs  cancel all Plays affecting the rest of the game.
PL-20,Double-Edged Flip,First Edition,Plays,,,0,,2,Flip a coin. If heads  your opponent's Hero gets -15. If tails  your opponent's next Hero gets -15.
PL-21,Overextended,First Edition,Plays,,,0,,2,Your opponent's Hero gets -10. If your opponent has used 2 or more Plays this Battle  they also lose 1 Hot Dog.
PL-22,Battle Back,First Edition,Plays,,,0,,2,Your Hero gets +15. If your opponent has won more Battles than you  Draw 1 Play.
PL-23,Weapon Tangle,First Edition,Plays,,,0,,2,If your opponent's Hero has a different weapon type than yours  your Hero gets +15. If they are the same  your Hero gets +20.
PL-24,Hexvantage,First Edition,Plays,,,0,,1,Your Hero gets +5 Power. If it has a Hex weapon  it gets +20.
PL-25,Trade-Up,First Edition,Plays,,,0,,2,Discard a Play from your hand to Draw 2 new Plays.
PL-26,Baseline Bonus,First Edition,Plays,,,0,,1,If your Hero's current Power is the same as its starting Power  your Hero gets +10.
PL-27,Consolation Combo,First Edition,Plays,,,0,,0,If your Hero loses this Battle  Draw 1 Play and Recover 1 Hot Dog.
PL-28,Quick Draw,First Edition,Plays,,,0,,1,If you run this Play before Battle 3  Draw 2 Plays. If not  Draw 1 Play.
PL-29,Weapon-Sync,First Edition,Plays,,,0,,2,If your previous Hero and your current Hero share a weapon type  your Hero gets +20. Otherwise  Draw 1 Play.
PL-30,Synergy Snacks,First Edition,Plays,,,0,,0,If your previous 2 revealed Heroes shared a weapon type  Recover 2 Hot Dogs.
PL-31,Wildcard Wager,First Edition,Plays,,,0,,0,Draw 1 Play. If it costs 1 or less  you may play it immediately for free. If the cost is 2 or higher  Discard it.
PL-32,Big Time Recruit,First Edition,Plays,,,0,,1,Reveal the top 3 Heroes of your Hero Deck. Choose one to add to your hand  then shuffle the rest back into your Hero Deck.
PL-33,Comeback Time,First Edition,Plays,,,0,,1,If you lost the 2 previous Battles  your Hero gets +15.
PL-34,Dice Duel,First Edition,Plays,,,0,,0,Both Players roll a dice. Whoever rolls a higher number gets +25. If tied  both get -10.
PL-35,High Stakes Pump-Up,First Edition,Plays,,,0,,0,Your Hero gets +10. If you lose this Battle  your Hero in the next Battle gets -20.
PL-36,Pick Your Poison,First Edition,Plays,,,0,,0,If you lost the previous Battle  your opponent must pay 1 Hot Dog at the start of the next Battle or Discard a Play.
PL-37,Snack Sanction,First Edition,Plays,,,0,,1,For the rest of the game  neither Player can Recover more than 1 Hot Dog per Battle.
PL-38,Bun Shortage,First Edition,Plays,,,0,,3,For the rest of the game  neither Player can Recover any Hot Dogs.
PL-39,Burn To Burn,First Edition,Plays,,,0,,1,Discard a Play. If you do  your opponent loses 2 Hot Dogs.
PL-40,Catch-Up Bonus,First Edition,Plays,,,0,,2,Your Hero gets +10. If your opponent has more Hot Dogs than you after you've paid this Play's cost  Recover 1 Hot Dog.
PL-41,Buff Or Debuff,First Edition,Plays,,,0,,2,After paying this Play's cost  if your opponent has more Hot Dogs than you  your Hero gets +15. If you have more than them  their Hero gets -15.
PL-42,Glowaway,First Edition,Plays,,,0,,2,Discard a Hero with a Glow weapon from your hand. Your Hero gets +25.
PL-43,Playbook Knowledge,First Edition,Plays,,,0,,1,Reveal the top 2 Plays of your opponent's Playbook. Put one back on top and send 1 to the bottom.
PL-44,Scare Tactics,First Edition,Plays,,,0,,1,If you have Honors  reveal a Play from your hand. You may use it for free next Battle if your opponent uses a Play with equal or greater cost.
PL-45,Weapon Lineage,First Edition,Plays,,,0,,1,Your current Hero gets +10 for every Hero in your Discard Pile with the same weapon type.
PL-46,Delayed Recovery,First Edition,Plays,,,0,,1,Choose one of your unrevealed Heroes. When that Hero is revealed  it gets -10 but you Recover 2 Hot Dogs.
PL-47,Second Wind,First Edition,Plays,,,0,,3,Shuffle your entire Discard Pile (excluding Hot Dogs) back into your deck. Draw 2 Plays.
PL-48,Protein Bar,First Edition,Plays,,,0,,2,Your Hero gets +15. If you lose this Battle  Recover 1 Hot Dog.
PL-49,Different Leagues,First Edition,Plays,,,0,,1,If your Hero's weapon type is different from your opponent's  their Hero gets -10.
PL-50,Refill And Reload,First Edition,Plays,,,0,,1,Shuffle 1 of your Plays from a previous Round into your Playbook to Draw 1 Play.
PL-51,Dog Gone Flip,First Edition,Plays,,,0,,0,Flip a coin. If heads  you Recover 3 Hot Dogs. If tails  your opponent Recovers 3 Hot Dogs.
PL-52,Combo Kick,First Edition,Plays,,,0,,2,Your Hero gets +15. If this is your second Play this Battle  it gets an additional +5.
PL-53,Overprepared,First Edition,Plays,,,0,,3,Your opponent's Hero gets -5 for every Play you have run this Battle.
PL-54,More Plays  Less Power,First Edition,Plays,,,0,,1,Once this Play is run  if your opponent has more Plays in their hand than you  their Hero gets -10.
PL-55,Lucky Discard,First Edition,Plays,,,0,,2,Discard the top card of your Hero Deck. If it has the same weapon type as your active Hero  your Hero gets +20.
